location,date,new_cases,new_deaths,population,aged_65_older_percent,gdp_per_capita,hospital_beds_per_thousand
United States,2020-04-10,33901,1873,331002647.0,15.413,54225.446,2.77
Myanmar,2020-05-31,0,0,54409794.0,5.732,5591.597,0.9
Netherlands,2020-02-16,0,0,17134873.0,18.779,48472.545,3.32
Sierra Leone,2020-04-01,1,0,7976985.0,2.538,1390.3,
Grenada,2020-04-21,0,0,112519.0,7.304,13593.877,3.7
Spain,2020-05-14,849,217,46754783.0,19.436,34272.36,2.97
Mauritius,2020-05-31,0,0,1271767.0,10.945,20292.745,3.4
Luxembourg,2020-05-05,4,0,625976.0,14.312,94277.965,4.51
Germany,2020-04-02,6156,140,83783945.0,21.453,45229.245,8.0
Uruguay,2020-05-16,8,0,3473727.0,14.655,20551.409,2.8
Bahrain,2020-05-06,187,0,1701583.0,2.372,43290.705,2.0
Barbados,2020-04-19,0,0,287371.0,14.952,16978.068,5.8
Congo,2020-04-20,17,0,5518092.0,3.402,4881.406,
Lebanon,2020-06-10,18,0,6825442.0,8.514,13367.565,2.9
Guyana,2020-04-24,3,0,786559.0,5.305,7435.047,1.6
Macedonia,2020-02-28,0,0,2083380.0,13.26,13111.214,4.28
Equatorial Guinea,2020-03-31,0,0,1402985.0,2.846,22604.873,2.1
Malta,2020-04-03,7,0,441539.0,19.426,36513.323,4.485
Mexico,2020-02-01,0,0,128932753.0,6.857,17336.469,1.38
Bahrain,2020-06-01,605,2,1701583.0,2.372,43290.705,2.0
Kazakhstan,2020-03-29,36,0,18776707.0,6.991,24055.588,6.7
Austria,2020-05-11,10,3,9006400.0,19.202,45436.686,7.37
South Africa,2020-06-02,1674,22,59308690.0,5.344,12294.876,2.32
Panama,2020-03-23,68,0,4314768.0,7.918,22267.037,2.3
Guernsey,2020-05-31,0,0,67052.0,,,
Lesotho,2020-05-26,0,0,2142252.0,4.506,2851.153,
Sweden,2020-02-02,0,0,10099270.0,19.985,46949.283,2.22
Israel,2020-03-22,171,0,8655541.0,11.733,33132.32,2.99
Guinea-Bissau,2020-05-23,0,0,1967998.0,3.002,1548.675,
Qatar,2020-05-30,1993,3,2881060.0,1.307,116935.6,1.2
Congo,2020-04-18,26,1,5518092.0,3.402,4881.406,
Mexico,2020-02-21,0,0,128932753.0,6.857,17336.469,1.38
Japan,2020-01-02,0,0,126476458.0,27.049,39002.223,13.05
Nepal,2020-05-21,42,0,29136808.0,5.809,2442.804,0.3
Grenada,2020-05-31,0,0,112519.0,7.304,13593.877,3.7
United States,2020-03-08,95,3,331002647.0,15.413,54225.446,2.77
Algeria,2020-04-14,69,20,43851043.0,6.211,13913.839,1.9
Barbados,2020-04-29,0,0,287371.0,14.952,16978.068,5.8
Curacao,2020-05-19,0,0,164100.0,16.367,,
Brazil,2020-05-19,13140,674,212559409.0,8.552,14103.452,2.2
Hungary,2020-05-06,46,10,9660350.0,18.577,26777.561,7.02
Swaziland,2020-05-12,3,0,1160164.0,3.163,7738.975,2.1
Democratic Republic of Congo,2020-04-06,0,0,89561404.0,3.02,808.133,
Luxembourg,2020-02-20,0,0,625976.0,14.312,94277.965,4.51
Greece,2020-02-12,0,0,10423056.0,20.396,24574.382,4.21
Austria,2020-01-24,0,0,9006400.0,19.202,45436.686,7.37
Israel,2020-03-11,31,0,8655541.0,11.733,33132.32,2.99
Germany,2020-01-24,0,0,83783945.0,21.453,45229.245,8.0
Seychelles,2020-04-19,0,0,98340.0,8.606,26382.287,3.6
Sint Maarten (Dutch part),2020-05-07,0,0,42882.0,,36327.232,
Liechtenstein,2020-03-27,5,0,38137.0,,,2.397
Dominica,2020-04-11,0,0,71991.0,,9673.367,3.8
New Zealand,2020-05-31,0,0,4822233.0,15.322,36085.843,2.61
South Africa,2020-05-07,236,5,59308690.0,5.344,12294.876,2.32
Jordan,2020-05-23,16,0,10203140.0,3.81,8337.49,1.4
Iran,2020-05-27,1787,57,83992953.0,5.44,19082.62,1.5
Jamaica,2020-03-28,0,0,2961161.0,9.684,8193.571,1.7
Zambia,2020-03-26,9,0,18383956.0,2.48,3689.251,2.0
Czech Republic,2020-04-20,133,7,10708982.0,19.027,32605.906,6.63
Serbia,2020-04-24,162,5,6804596.0,17.366,14048.881,5.609
Azerbaijan,2020-03-15,6,0,10139175.0,6.018,15847.419,4.7
Hong Kong,2020-04-29,0,0,7496988.0,16.303,56054.92,
Ecuador,2020-04-23,452,17,17643060.0,7.104,10581.936,1.5
Vietnam,2020-03-04,0,0,97338583.0,7.15,6171.884,2.6
Denmark,2020-05-16,78,0,5792203.0,19.677,46682.515,2.5
Oman,2020-02-26,2,0,5106622.0,2.355,37960.709,1.6
Central African Republic,2020-04-02,2,0,4829764.0,3.655,661.24,1.0
Afghanistan,2020-04-16,70,2,38928341.0,2.581,1803.987,0.5
Costa Rica,2020-03-21,26,1,5094114.0,9.468,15524.995,1.13
New Caledonia,2020-05-29,1,0,285491.0,9.954,,
Congo,2020-04-22,5,0,5518092.0,3.402,4881.406,
Thailand,2020-02-05,6,0,69799978.0,11.373,16277.671,2.1
Oman,2020-01-29,0,0,5106622.0,2.355,37960.709,1.6
Uruguay,2020-04-02,11,1,3473727.0,14.655,20551.409,2.8
Albania,2020-04-18,21,0,2877800.0,13.188,11803.431,2.89
Bahrain,2020-04-07,56,0,1701583.0,2.372,43290.705,2.0
Saint Kitts and Nevis,2020-04-06,0,0,53192.0,,24654.385,2.3
Denmark,2020-02-23,0,0,5792203.0,19.677,46682.515,2.5
Albania,2020-03-15,5,0,2877800.0,13.188,11803.431,2.89
United Arab Emirates,2020-01-08,0,0,9890400.0,1.144,67293.483,1.2
San Marino,2020-05-23,3,0,33938.0,,56861.47,3.8
Portugal,2020-04-29,180,25,10196707.0,21.502,27936.896,3.39
Jordan,2020-03-30,24,0,10203140.0,3.81,8337.49,1.4
Isle of Man,2020-04-23,0,5,85032.0,,,
Uruguay,2020-04-05,19,1,3473727.0,14.655,20551.409,2.8
San Marino,2020-05-09,1,0,33938.0,,56861.47,3.8
Moldova,2020-05-29,188,8,4033963.0,10.864,5189.972,5.8
Azerbaijan,2020-01-14,0,0,10139175.0,6.018,15847.419,4.7
Iran,2020-05-31,2282,57,83992953.0,5.44,19082.62,1.5
Guam,2020-04-15,1,0,168783.0,9.551,,
Nepal,2020-03-31,0,0,29136808.0,5.809,2442.804,0.3
Egypt,2020-04-15,160,14,102334403.0,5.159,10550.206,1.6
Lebanon,2020-02-08,0,0,6825442.0,8.514,13367.565,2.9
Papua New Guinea,2020-04-05,0,0,8947027.0,3.808,3823.194,
New Zealand,2020-04-19,4,1,4822233.0,15.322,36085.843,2.61
Jamaica,2020-05-28,5,0,2961161.0,9.684,8193.571,1.7
Mexico,2020-02-26,0,0,128932753.0,6.857,17336.469,1.38
